"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Egypt, Arab Rep.","EGY","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.7","","","","","9.5","","","","8.9","","","","","9","","","","9.2","","9.4","","9.8","","","9.1","","9","","","","",
"Euro area","EMU","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","6.9","","","","","7.2","","","","","7.7","","","","","6.2","","","","","7.1","","","7.2","6.9","7","6.7","6.7","6.6","6.3","6.3","6","6.1","5.7","5.7","5.8","5.7","6.2","6.2","6.2","","",
"Estonia","EST","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","7.1","7.4","7.5","8","7.8","7.7","7.2","7.3","7.3","6.8","7","7.5","7.8","8.1","8.1","8.1","","",
"Ethiopia","ETH","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","","","","9.1","","","","","9.4","","","","","","8","","","","","7.3","","","","","","",
"European Union","EUU","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8","","","","10.7","","","","10.8","","","","","9.6","","","9.4","9.4","9.5","9.2","9.2","9.3","9.3","9.2","9.3","9.4","9.3","9.4","9.4","9.4","9.4","9.3","9.2","","",
"Fiji","FJI","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.7","","","","","","6.6","","","","","7.5","","","","","","8.4","","",
"France","FRA","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","7","","","","","","6.5","","","","","7.5","","","","","8","","","","","","8.2","","","8.2","8.4","8.6","8.5","8.1","7.9","7.7","7.7","7.8","7.8","8","8","7.9","8","8.1","8","","","",
"Faroe Islands","FRO","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.6","","","","","","","","5.5","","","","","","","","",
"Gabon","GAB","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8","","","","","","","","","","","","6","","","","",
"United Kingdom","GBR","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","7.9","","","","","8.7","","","","","9","","","","","","","7.5","","","","","6.8","","","7","7.1","7.1","7","6.9","6.8","6.6","6.8","7.1","7.2","6.7","6.9","7","6.9","7.2","7.2","7.3","7.4","7.6","7.4","7.3","7.4","7.1","6.8","","","","",
"Georgia","GEO","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","5.1","5.2","5.4","5.4","5.8","6.3","6.3","6.2","6.2","6.3","6.2","6.1","6.1","5.7","5.6","5.9","6.1","6.4","6.7","6.7","6.3","6.5","6.8","7","",
"Ghana","GHA","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","","","6.6","","","","","","","5.8","","","","","","","5.2","","","","","","","5.4","","","","4.7","","","","","",
"Gibraltar","GIB","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","5.2","","","","","","","","5.8","","","","","6.3","","","","","7.6","","","","","","8.5","","","",
"Gambia, The","GMB","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3","","","","","4.8","","","","","","","5.7","","","","","7.4","","","","","","",
"Guinea-Bissau","GNB","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.6","","","","","","","","","7.2","","","","","","","","4.5","","","","","","","","7.8","","","",
"Equatorial Guinea","GNQ","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.9","","","","","6.8","","","7.2","7.1","6.9","6.7","7","7.1","7","6.7","6.1","5.8","5.9","5.9","5.8","6.3","6.6","7.2","7","","",
"Grenada","GRD","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","","","2.1","","","","","","","","","","","3.5","","","","","","3.2","","","","","","","","4.5","","","","","","","",
"Guam","GUM","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.2","","","","","","","","","","","","","","","","","","","","","","","",
"High income","HIC","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hong Kong SAR, China","HKG","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","2.8","3.7","3.9","3.6","3.1","3.1","2.9","3.5","2.1","2.3","","2.5","2.6","2.3","2.3","1.9","2.1","2.8","2.7","3.3","3.1","3","3","3.5","3.7","3.7","3.2","3.4","3.4","3.6","","",
"Heavily indebted poor countries (HIPC)","HPC","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.9","6.9","6.9","6.9","7.1","7.1","7.3","7.3","7.4","7.8","8","","",
"Haiti","HTI","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.5","","","","","","","","","",
"Hungary","HUN","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.3","7.1","8.7","8.7","8.8","8.8","8.2","8.1","7.6","7.5","7.6","7.8","8","7.9","8.2","8","","",
"IBRD only","IBD","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA & IBRD total","IBT","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA total","IDA","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","Income share held by lowest 20%","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
